id;code;name;number;type;bedrooms;furnishing;electricity;water;parking
1;Shoes Music connect;Hollow Shoes systems;Generic Frozen Tuna HTTP;OFFICE_SPACE;62585;FURNISHED;16293;61585;7056
2;invoice Outdoors New York;multi-byte Jamaican Dollar North Carolina;Station;APPARTMENT;82042;FURNISHED;21458;10077;37725
3;Ergonomic Rubber Chicken;Handcrafted Plastic Shirt quantifying;wireless;APPARTMENT;11816;FURNISHED;73507;41794;80348
4;intermediate Table quantify;Wyoming interface Cotton;quantify;OFFICE_SPACE;23859;FURNISHED;23823;10312;37772
5;Liechtenstein Buckinghamshire monetize;Direct;Small Frozen Salad bypassing;VILLA;95060;FURNISHED;44844;9170;29321
6;knowledge user Danish Krone;Data neural Wooden;Cambridgeshire Tasty Rubber Car mindshare;VILLA;68803;FURNISHED;42609;70096;22257
7;revolutionize;panel Sleek Intelligent;Maine PCI SAS;APPARTMENT;98600;UNFURNISHED;8350;48166;77714
8;Oklahoma communities;array supply-chains Advanced;Parkway Handmade Wooden Cheese;VILLA;74421;UNFURNISHED;47771;28571;8289
9;Cyprus web services auxiliary;Designer Incredible Fresh Car Tuvalu;Senior Optional Yemeni Rial;APPARTMENT;62939;FURNISHED;45454;99583;62755
10;Maryland Legacy Unbranded Plastic Chips;Unbranded Cotton Table Generic B2B;olive;APPARTMENT;26593;FURNISHED;25994;98621;45324
